TaskID,Input1,Output1_1,Noise1_1,LST
7,-1.0739684,-0.6049685,0.2545686,1
7,-1.0213976,-0.6342629,0.2715594,1
7,-0.96829545,-0.66106737,0.35314438,1
7,-0.9146166,-0.6940236,0.40733907,1
7,-0.8602146,-0.7337176,0.48145396,1
7,-0.8049851,-0.77429026,0.6617612,1
7,-0.74856114,-0.84562236,0.7579934,1
7,-0.69017017,-0.9469811,0.88352007,1
8,-1.9460942,0.35310593,0.33542123,0
8,-1.907308,0.39045617,0.26628637,0
8,-1.868769,0.39719397,0.20330335,0
8,-1.83026,0.39353216,0.17151889,0
8,-1.7916713,0.37903133,0.14090621,0
8,-1.7529263,0.36101532,0.13109258,0
8,-1.7140038,0.34270632,0.11278356,0
8,-1.6748422,0.3132655,0.10560642,0
8,-1.6353204,0.27327845,0.09593926,0
8,-1.5953227,0.22435679,0.09813634,0
8,-1.5547415,0.16752551,0.09432807,0
8,-1.5134621,0.10234545,0.10355581,0
8,-1.4713748,0.03174599,0.112051204,0
8,-1.4283644,-0.046177305,0.114834175,0
8,-1.3842794,-0.1328888,0.13036022,0
8,-1.3389559,-0.2258987,0.15643227,0
8,-1.292343,-0.3095342,0.19729799,0
8,-1.2444706,-0.38950807,0.22175884,0
8,-1.1953052,-0.46874934,0.2657005,0
8,-1.1449406,-0.5293888,0.29118663,0
8,-1.093454,-0.59442246,0.3534373,0
8,-1.0408599,-0.64788496,0.418178,0
8,-0.9871839,-0.7058878,0.49771237,0
8,-0.9322718,-0.76960325,0.6166478,0
8,-0.8760975,-0.82423735,0.77659535,0
8,-0.818671,-0.8822404,1.0724691,0
9,-0.9088964,1.1783298,0.22556712,0
9,-0.87728006,1.2051344,0.20945519,0
9,-0.8457346,1.194735,0.17430186,0
9,-0.81407416,1.1688092,0.16346292,0
9,-0.78221875,1.136439,0.15965465,0
9,-0.75014853,1.1058264,0.17400892,0
9,-0.7178276,1.0640817,0.17371598,0
9,-0.6851339,1.0016844,0.19641916,0
9,-0.65191287,0.92229676,0.19627269,0
9,-0.61803734,0.83265585,0.20828341,0
9,-0.58339906,0.7337871,0.22922891,0
